"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3324,23,1,1878,31,1,1878,4,3,0,0,9,9,7,3,0,1,1,0,0,0,0,3.1
3325,20,9,1902,2,10,1902,4,1,0,0,13,13,7,3,0,1,1,0,0,0,0,3.1
3326,3,1,1853,12,3,1853,5,3,0,0,69,69,16,4,1,1,1,0,0,0,0,3.1
3330,5,9,1911,5,9,1911,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3340,16,3,1919,16,3,1919,8,4,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3341,20,10,1914,7,11,1914,7,3,0,0,19,19,15,4,0,1,2,0,0,0,0,3.1
3342,30,8,1914,30,8,1914,8,3,0,0,1,1,8,3,0,1,2,0,0,0,0,3.1
3343,2,8,1914,2,8,1914,5,3,0,0,1,1,10,3,0,1,1,0,0,0,0,3.1
3344,13,8,1914,18,8,1914,5,3,0,0,6,6,7,3,1,1,1,0,0,0,0,3.1
3345,10,2,1918,10,2,1918,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3346,19,2,1918,6,3,1918,5,3,0,0,16,16,14,4,0,1,1,0,0,0,0,3.1
3348,4,1,1916,11,11,1918,8,3,0,0,1043,1043,18,4,0,1,4,0,0,0,0,3.1
3349,19,8,1915,11,11,1918,8,3,0,0,1181,1181,16,4,0,1,1,0,0,0,0,3.1
3350,29,11,1914,29,11,1914,3,3,0,0,1,1,15,4,1,1,1,0,0,0,0,3.1
3351,24,8,1914,24,8,1914,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3352,21,8,1915,22,9,1915,4,1,0,0,33,33,7,3,0,1,1,0,0,0,0,3.1
3360,8,11,1960,8,11,1960,5,3,3,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3361,-9,12,1961,26,2,1962,5,3,0,0,88,33,7,3,1,1,3,0,0,0,0,3.1
3362,22,3,1926,22,3,1926,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3363,-9,6,1887,-9,6,1887,6,1,0,0,30,1,7,3,0,1,2,0,0,0,0,3.1
3364,14,3,1939,17,3,1939,1,2,-9,-9,4,4,14,4,0,1,1,0,0,0,0,3.1
3370,6,11,1950,7,4,1951,3,1,0,0,153,153,16,4,1,1,1,0,0,0,0,3.1
3371,20,12,1951,20,12,1951,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
